Date,Daily_Returns,Cumulative_Returns,Volatility_21d
2012-01-03,,,
2012-01-04,0.009387683278707426,0.009387683278707426,
2012-01-05,0.008896113626687185,0.018367310802533288,
2012-01-06,-0.010420945980593288,0.007754960068258043,
2012-01-09,0.021061172837833375,0.028979461460439504,
2012-01-10,0.007536651990541987,0.03673452156688217,
2012-01-11,0.0007875802778010144,0.0375510332293838,
2012-01-12,0.003147070592148804,0.04081627957391354,
2012-01-13,-0.004705892529836553,0.03591831001893442,
2012-01-17,0.006303964885759683,0.04244870266980927,
2012-01-18,0.0070479289493372566,0.049795807059554775,
2012-01-19,0.005832217055330213,0.055918444070101714,
2012-01-20,0.007730915152919682,0.06408165996961057,
2012-01-23,-0.00537024684690024,0.05836727879031445,
2012-01-24,-0.0026994320124337223,0.055510288277035524,
2012-01-25,0.010053573693066697,0.06612193874401884,
2012-01-26,0.007274177430175888,0.07387709888864591,
2012-01-27,0.0007600604843818193,0.07469331043659366,
2012-01-30,0.001139643730782014,0.0759180779303461,
2012-01-31,0.008346107149053594,0.08489780549235659,
2012-02-01,0.01015792123016701,0.095918111943329,
2012-02-02,-0.005958741389090139,0.08938781933063877,0.007203225680649567
2012-02-03,0.017234694739626022,0.10816308584986922,0.0076785498472743755
2012-02-06,-0.0022099046518222476,0.10571415109147186,0.007741642752028887
2012-02-07,0.0,0.10571415109147186,0.007079795346569695
2012-02-08,0.005906131058025288,0.11224464378053134,0.005990619626970303
2012-02-09,0.00770646258329033,0.12081611551129101,0.005996127935697486
2012-02-10,-0.010196554176797434,0.10938765326725242,0.006703648741693444
2012-02-13,0.008461589652758894,0.11877483635503716,0.00680059851364303
2012-02-14,-0.005836914061976062,0.11224464378053156,0.006872660886016374
2012-02-15,0.046605741342506724,0.16408162995815556,0.011671631156988334
2012-02-16,0.004557949457274946,0.169387455191647,0.011665980782220942
2012-02-17,0.018150101831478027,0.19061195658382823,0.012003407445912825
2012-02-21,-0.0034282017296030087,0.1865302986149815,0.012159669785023003
2012-02-22,0.007224064803865282,0.1951018703839258,0.011916838352496682
2012-02-23,0.01810126634197906,0.21673472764554247,0.012032931476869688
2012-02-24,-0.020798583998967946,0.19142836820814524,0.013426222239431126
2012-02-27,0.0,0.19142836820814524,0.013468956914963238
2012-02-28,0.006166719396634823,0.19877557263607537,0.013434606378084806
2012-02-29,0.0013614916908533115,0.20040769561741723,0.013431256991262006
2012-03-01,0.001360473919944205,0.2020408189806051,0.013438857533117467
2012-03-02,-0.007130682716618542,0.19346944728803006,0.01363388964441152
2012-03-05,-0.004788209089600759,0.1877548660323647,0.013592800394814692
2012-03-06,-0.006185455000267459,0.18040806175717283,0.013430696185417383
2012-03-07,0.011065144295451246,0.19346944728802984,0.01348076473415063
2012-03-08,0.012995657468869437,0.20897936742454593,0.013598808060610158
2012-03-09,0.007427362060586695,0.21795889491018716,0.013611571428733356
2012-03-12,-0.007707553384246668,0.20857141170784876,0.013839182607839519
2012-03-13,0.014522020799263347,0.22612231088606527,0.013649284446726159
2012-03-14,-0.008322167188578367,0.21591831602122546,0.013916798576454604
2012-03-15,0.0003355124364208262,0.2163262717379224,0.013761553618883988
2012-03-16,-0.010067014184175549,0.20408149790775143,0.010143581145839378
2012-03-19,0.012203500119098765,0.2187755066108732,0.010387114964590261
2012-03-20,-0.00301409255096996,0.21510200443509264,0.009751428857083794
2012-03-21,-0.0020154972896455625,0.21265296963851088,0.00972407653969871
2012-03-22,0.00605862067344054,0.21999997399007176,0.009690541090384936
2012-03-23,0.003345457360239834,0.22408143188254925,0.008892722452595056
2012-03-26,0.012004355621240803,0.23877574070022511,0.007812203757512397
2012-03-27,-0.005930939837094806,0.2314286363104796,0.007989019029878157
2012-03-28,-0.008286631248199616,0.2212242412929013,0.00819618222537104
2012-03-29,-0.003007966934645001,0.21755083915530538,0.00823964814418097
2012-03-30,0.006034248521941121,0.22489784350686648,0.008320882617526493
2012-04-02,0.00680153047502996,0.233229023518277,0.008200583277775314
2012-04-03,-0.012978699879773625,0.21722331413900697,0.00869891676175907
2012-04-04,-0.011463242465412415,0.2032699881544786,0.008994299003301561
2012-04-05,0.008185327915689378,0.2131191475786307,0.008853250253774668
2012-04-09,-0.0077804416272676535,0.20368054486397447,0.008580701868058226
2012-04-10,-0.023184766291083125,0.17577349274217968,0.009745903987684787
2012-04-11,0.011518519095191415,0.18931666216995047,0.010045068890643273
2012-04-12,0.024154513384935017,0.21804402740526085,0.010954453089449583
2012-04-13,-0.006064575188585275,0.21065710781805436,0.010882191701444856
2012-04-16,0.009152657216398907,0.22173783733250985,0.011070333210130939
2012-04-17,0.0107489612260665,0.2348702499744153,0.011030360226555807
2012-04-18,-0.007643963389792341,0.22543094699246713,0.01089536257242176
2012-04-19,-0.012725606777411747,0.20983659462816973,0.011244285115334237
2012-04-20,-0.0010177986179304988,0.20860522461423536,0.011238099752990838
2012-04-23,-0.013921851527785689,0.19177920212144994,0.011532648156704574
2012-04-24,0.01067484311366762,0.20450125813022835,0.011780579141432407
2012-04-25,0.010221574588583637,0.2168131575822494,0.011690518245399139
2012-04-26,0.01989832356461596,0.24102569950950303,0.012455895234848665
2012-04-27,0.0013229594567578662,0.24266752619474863,0.012294604717409088
2012-04-30,0.00231203970525673,0.24554062285574396,0.012264802445273974
2012-05-01,0.008236918034493224,0.25580003887483826,0.012317924405394922
2012-05-02,-0.005882241884484163,0.24841311928763177,0.012343524609538402
2012-05-03,-0.001972055311143195,0.24595117956523982,0.011963481762674939
