Ticker,Daily_Returns,Cumulative_Returns,Volatility_21d
AAL,0.0032679862818003613,-0.1813333129882796,0.021457944930157395
AAPL,-0.010559124440792766,-0.04587326933611313,0.015390825602760474
ADBE,0.0003965349116801242,-0.10590568161097991,0.036035290243687686
ADI,0.023069318847757314,0.1647785450993926,0.01694345883023225
ADP,0.005677943267880403,0.07283081443306072,0.0080541459401849
ADSK,-0.0021074751519184476,-0.08212317669787417,0.01796423144281208
AKAM,-0.00793573966052774,-0.07446174658269478,0.011816652728090037
AMAT,-0.008509635925292969,0.31574741289512254,0.018319626663309073
AMGN,-0.006915754639087779,0.349148462621931,0.010770662994855153
AMZN,0.0030584610251771505,0.05854017894039787,0.012692382038399072
AVGO,0.005065520470356688,1.118331475508758,0.03187298956065395
BIDU,0.0027621766018477434,-0.2938967507070085,0.021681879484603903
BIIB,-0.003281831686680947,-0.11677723674166784,0.015332482802993907
BMRN,-0.014332516236463921,-0.022605240137239302,0.011737935860217765
CA,0.0007536538673191817,0.0025649027773886335,0.0009540221294736505
CHKP,-0.0008528747782757806,0.4091416390317717,0.009248001148061501
CHTR,-0.009812288463729946,-0.5512060329025076,0.02016437450159964
CMCSA,0.006501032008272123,-0.09123967016716183,0.010778141320981002
COST,0.0007512673206886422,0.3430726927391168,0.020443093629449252
CSCO,0.0028129587584684312,-0.1534619845649573,0.007699303021970939
CSX,0.006243201446354263,0.029889075003273646,0.010791686385071532
CTSH,-0.004482502292082691,-0.15129117483976096,0.011155758948932587
DLTR,0.004905614313089668,-0.05681096816947406,0.034430222551325426
EA,0.006066604090239736,-0.0038723894166471373,0.008388778106688904
EBAY,0.016563956869820373,-0.17171837505234233,0.01332376900105644
EXPE,-0.008921544313666874,-0.25528464566727616,0.01114522594756055
FAST,-0.0018115863335901317,0.32351271628143885,0.011246312649307531
FISV,0.0030754125872893834,0.41483718678771897,0.006619856428687634
FOX,0.0006993166956958952,-0.1484523411324724,0.014324117082560428
FOXA,0.003208225255853625,-0.13787274697446528,0.0135907037584315
GILD,0.003287191573035697,0.10727330622263609,0.008707371100661538
GOOGL,0.0003976772090907854,0.04095751672540371,0.01618179451177476
HSIC,0.0049234212864266436,-0.024667488758638112,0.010248251462108544
ILMN,-0.00980664424133626,-0.6394570087308463,0.021162100140989546
INCY,-0.0026260103989237393,-0.22982289738346018,0.013314063517889904
INTC,0.009138627073299377,-0.11421296924588642,0.02729952728389934
INTU,0.0019422415522276637,0.04474614707184155,0.015827816305908245
ISRG,-0.0025243932772239797,0.10858332316080843,0.017082207149685776
JD,0.005875928694532684,-0.5828562488092326,0.0453462942069455
KHC,0.010128736899704727,0.12503134419249817,0.007558239389664737
LBTYA,-0.0005906809628809517,-0.3933309269782951,0.013847667030902476
LBTYK,-0.0016978317213340866,-0.3731343364514256,0.013952989122287918
LRCX,0.006109773026476528,0.3778495036714915,0.02088903405303605
MAR,-0.0049297997004087435,0.56848339609333,0.009360565107122942
MAT,0.0025303257328643802,-0.08877646391421723,0.015364819307862867
MCHP,0.005830212230435006,0.062417953442505114,0.02398389841190766
MDLZ,-0.0014265117874148192,0.11829791289953606,0.009344283928324858
MNST,0.0013513178264603631,0.22809194566233804,0.014989809381137186
MSFT,-0.001684719804991075,0.2822102693616164,0.013495017777868613
MU,-0.010450352325157786,0.25054875116519804,0.03847880719300645
NCLH,-0.01921273872916951,-0.05635707767363296,0.021865003138536288
NFLX,-0.01010547472979706,0.016673120602084035,0.014086319674159123
NTAP,-0.002376037362686656,0.20905984748776096,0.04060473024340927
NTES,-0.0021217206627750507,0.07639402026779685,0.017476204940881552
NVDA,0.0011745125302977666,2.004045761801982,0.02967758478633178
NXPI,0.009493162515800346,0.12108487574784732,0.020745306646201833
ORLY,-0.005847554014220324,0.6220938599916981,0.009554236001351938
PAYX,0.010450129887414228,-0.02796205199262458,0.00926937196072837
PCAR,-0.004579782251463382,1.3011328450818542,0.01130791094225829
PYPL,0.006309120788203337,-0.6563558170473256,0.01675509053931435
QCOM,0.0010051331167588717,-0.041480805591027736,0.021420917950798413
REGN,-0.003942872406834885,0.5348270255234231,0.008009074225366465
ROST,-0.0029214479749838373,0.3333208107169563,0.007940617276073274
SBAC,-0.006327975381628881,-0.4132792924475096,0.012892597905665255
SBUX,-0.0012021924628585756,-0.17638220713784747,0.010472393733046023
SIRI,-0.0051282001121667475,-0.3403645697800012,0.011633049117074435
SRCL,-0.006591308553269948,-0.11493286324655605,0.010186655243391188
STX,-0.01617676834083659,-0.0985511184063873,0.025534291489238248
SWKS,0.003985543679751347,-0.2844121746488202,0.02152814876731371
TMUS,0.007468716467465386,0.438308320874893,0.0069528015695014605
TRIP,-0.0021543793580091064,-0.023198588039119672,0.010093089488410315
TSCO,0.004914754904384644,0.1581898697089894,0.012271470662950316
TSLA,-0.022465709302040393,-0.5604444311499062,0.02972095058906053
TXN,0.007751556860815079,-0.023005901742369383,0.015485492938276247
ULTA,0.01822710896472257,0.2653485733883765,0.016855962486919788
VOD,0.007927485326051809,-0.3131587258141062,0.020760602243025707
VRSK,0.007694622785084926,0.07936536216112411,0.006985009165151631
VRTX,0.0016534132782908273,0.8784434101408647,0.011103700010419666
WBA,0.03187440826370125,-0.5363380242869716,0.017217913364471392
WDC,0.008870468355044236,0.03503712343244891,0.026821606832693273
XRAY,-0.0036026040718885044,-0.39608477064599723,0.013791291919410921
NDX,-0.0014304808120695345,0.10622617886860164,0.010920550694798024
