Date,Daily_Returns,Cumulative_Returns,Volatility_21d
2022-01-03,,,
2022-01-04,-0.01269159178117829,-0.01269159178117829,
2022-01-05,-0.02659984258239856,-0.0389538400200774,
2022-01-06,-0.016693415225414454,-0.05499698261941233,
2022-01-07,0.0009884418250507565,-0.05406290211223419,
2022-01-10,0.0001161407661987024,-0.0539530402529097,
2022-01-11,0.01678389180024742,-0.03807469044256151,
2022-01-12,0.002570263216983504,-0.035602289201920545,
2022-01-13,-0.0190281984761278,-0.0539530402529097,
2022-01-14,0.005110677194343438,-0.04911809963095226,
2022-01-18,-0.018894018104099963,-0.06708407947138606,
2022-01-19,-0.02102475882719801,-0.08669841170655357,
2022-01-20,-0.010347154483712706,-0.096148484330846,
2022-01-21,-0.012765136037648173,-0.10768627188619728,
2022-01-24,-0.004864390312779632,-0.1120268341411943,
2022-01-25,-0.011384723176218414,-0.12213616282240713,
2022-01-26,-0.0005631606474983952,-0.12263054118936745,
2022-01-27,-0.002943284582118122,-0.12521288919030615,
2022-01-28,0.06977772950993821,-0.06417223079344703,
2022-01-31,0.026125825351233534,-0.03972295793632219,
2022-02-01,-0.0009726314024935956,-0.040656953542526963,
2022-02-02,0.00704417245531741,-0.03389917567947098,0.02075396800485297
2022-02-03,-0.016719703731799318,-0.05005209523715737,0.020881374857232217
2022-02-04,-0.0016794333451932708,-0.05164746942461251,0.020084446048570657
2022-02-07,-0.0042346077054623565,-0.055663370358081776,0.019761932182471548
2022-02-08,0.018466841221019825,-0.038224455759291454,0.020163116811910062
2022-02-09,0.008293812505495213,-0.030247669722988424,0.020224479113728534
2022-02-10,-0.02359895564393344,-0.053132811950796666,0.020601852697897858
2022-02-11,-0.020218411713064044,-0.07227696259636673,0.021024904194738084
2022-02-14,0.0014231564605455826,-0.07095666756208874,0.0206494654361962
2022-02-15,0.023152393337275035,-0.04944709090211341,0.021267843670421848
2022-02-16,-0.0013887972144384086,-0.050767216134444904,0.020820644796965056
2022-02-17,-0.021269231078836603,-0.07095666756208874,0.020833655795928878
2022-02-18,-0.009355760522797407,-0.07964857449567952,0.020807726653366054
2022-02-22,-0.017812249170755856,-0.09604210341142283,0.021003661273113216
2022-02-23,-0.025864351416987175,-0.11942238811495032,0.02177376324110293
2022-02-24,0.016680486163469954,-0.10473392544404037,0.021912326837869936
2022-02-25,0.012965314651439908,-0.09312651909066294,0.0220575419321067
2022-02-28,0.0016377782088432546,-0.09164126146545182,0.0220308871804321
2022-03-01,-0.011627867851296547,-0.10220353683870198,0.015790895568229997
2022-03-02,0.020588236128523008,-0.0837194912597844,0.015340080101423893
2022-03-03,-0.001981219279148294,-0.08553484386880827,0.01533789166616748
2022-03-04,-0.018408290735776434,-0.10236858433060847,0.015577426212274268
2022-03-07,-0.023717528003997512,-0.12365818256901517,0.015947537481857052
2022-03-08,-0.011676112091063562,-0.13389044785942572,0.01603280886619521
2022-03-09,0.03499751848004529,-0.10357876280264222,0.018170331200570468
2022-03-10,-0.027186325849678616,-0.12794916265566159,0.018289671047008474
2022-03-11,-0.023908647984089426,-0.1487987191499578,0.01851254191478309
2022-03-14,-0.026562334645579333,-0.17140861242264238,0.01866385786520243
2022-03-15,0.0296772253999793,-0.14681831904902753,0.01991949662930442
2022-03-16,0.029015222100122307,-0.12206306308447934,0.021152543059904307
2022-03-17,0.006454388027445246,-0.1163965174299999,0.020442828014661636
2022-03-18,0.0209188409083485,-0.09791255675205535,0.021114216623564504
2022-03-21,0.008537744141930093,-0.09021076496795655,0.020768035389839214
2022-03-22,0.020800611279308878,-0.07128659274395521,0.021184678405901023
2022-03-23,0.008233547714261436,-0.0636399865924383,0.020809210817056577
2022-03-24,0.022677887783213002,-0.04240531928369384,0.020261571318668986
2022-03-25,0.003734032215736205,-0.03882962989628158,0.02005865846728523
2022-03-28,0.005036623727285194,-0.03398857640425368,0.019947471200223596
2022-03-29,0.019134396475473547,-0.015504530825336094,0.02024209726368854
2022-03-30,-0.006649557611719925,-0.022050990166090245,0.020077976500205773
2022-03-31,-0.01777570076906232,-0.03943471913229857,0.020263655390792525
2022-04-01,-0.001718232952968024,-0.04108519405136246,0.020260864012498186
2022-04-04,0.023693548785520546,-0.018365099315460487,0.020175729971343977
2022-04-05,-0.018941947996370168,-0.036959176555649065,0.019866765821110428
2022-04-06,-0.018450941175111923,-0.054728186138252144,0.020198065926161173
2022-04-07,0.0018041433413304997,-0.05302278028952612,0.01894088790530099
2022-04-08,-0.011909015167157144,-0.06430034636201043,0.01800223151507132
2022-04-11,-0.025515759765997292,-0.08817543393736427,0.01812761750504354
2022-04-12,0.011523334568606991,-0.0776681743947496,0.01683523459869139
2022-04-13,0.016342528212743845,-0.06259494051328429,0.01610346015080043
2022-04-14,-0.02998824942093936,-0.09070607724562241,0.01676728015638787
2022-04-18,-0.0013308991094628242,-0.09191625571765616,0.016745435357362403
2022-04-19,0.014115168020640612,-0.07909850109029848,0.01641214282158499
2022-04-20,-0.0010155094990472735,-0.08003368531012811,0.016328209444166325
2022-04-21,-0.004843593299480586,-0.08448962798770787,0.01569297897996442
2022-04-22,-0.027821144841644996,-0.1099601746514901,0.016626852176825985
2022-04-25,0.006737115422954965,-0.10396387361709047,0.015772329261496083
2022-04-26,-0.037328107333243876,-0.13741120631717585,0.0173563030078193
2022-04-27,-0.0014667409453205105,-0.1386764006198451,0.017225884620534503
2022-04-28,0.045155375465326,-0.0997830100926882,0.01981331039370087
2022-04-29,-0.03660471929968678,-0.13273520031705432,0.021048414316347342
